date,vst
2025-02-14,0.961
2025-02-21,0.893
2025-02-28,0.881
2025-03-07,0.867
2025-03-14,0.879
2025-03-21,0.851
2025-03-28,0.875
2025-04-04,0.926
2025-04-11,0.933
2025-04-18,0.951
2025-04-25,0.954
2025-05-02,0.954
2025-05-09,0.917
2025-05-16,0.933
2025-05-23,0.928
2025-05-30,1.033
2025-06-06,1.112
2025-06-13,1.131
2025-06-20,1.093
2025-06-27,1.037
2025-07-04,1.097
2025-07-11,1.11
2025-07-18,1.134
2025-07-25,1.047
2025-08-01,1.093
2025-08-08,1.116
2025-08-15,1.06
2025-08-22,1.037
2025-08-29,1.05
2025-09-05,1.053
2025-09-12,1.038
2025-09-19,1.033
