date,eps
2025-02-14,6.17
2025-02-21,6.27
2025-02-28,6.4
2025-03-07,6.45
2025-03-14,6.54
2025-03-21,6.65
2025-03-28,6.75
2025-04-04,6.85
2025-04-11,6.91
2025-04-18,7.02
2025-04-25,7.15
2025-05-02,7.22
2025-05-09,7.34
2025-05-16,7.43
2025-05-23,7.53
2025-05-30,7.61
2025-06-06,7.7
2025-06-13,7.83
2025-06-20,7.94
2025-06-27,8.07
2025-07-04,8.2
2025-07-11,8.31
2025-07-18,8.44
2025-07-25,8.55
2025-08-01,8.67
2025-08-08,8.76
2025-08-15,8.86
2025-08-22,8.95
2025-08-29,9.07
2025-09-05,9.14
2025-09-12,9.26
2025-09-19,9.36
