date,growth
2025-02-14,13.0
2025-02-21,17.28
2025-02-28,12.92
2025-03-07,3.71
2025-03-14,9.73
2025-03-21,5.31
2025-03-28,7.93
2025-04-04,16.04
2025-04-11,12.55
2025-04-18,7.2
2025-04-25,5.95
2025-05-02,10.13
2025-05-09,5.13
2025-05-16,7.32
2025-05-23,11.25
2025-05-30,14.62
2025-06-06,12.44
2025-06-13,0.83
2025-06-20,11.22
2025-06-27,10.29
2025-07-04,11.66
2025-07-11,16.46
2025-07-18,1.75
2025-07-25,7.64
2025-08-01,12.36
2025-08-08,3.67
2025-08-15,15.9
2025-08-22,11.47
2025-08-29,13.39
2025-09-05,7.72
2025-09-12,13.26
2025-09-19,14.27
