date,vst
2025-02-14,1.267
2025-02-21,1.281
2025-02-28,1.211
2025-03-07,1.095
2025-03-14,1.098
2025-03-21,1.074
2025-03-28,1.097
2025-04-04,1.132
2025-04-11,1.139
2025-04-18,1.177
2025-04-25,1.189
2025-05-02,1.215
2025-05-09,1.18
2025-05-16,1.171
2025-05-23,1.181
2025-05-30,1.222
2025-06-06,1.202
2025-06-13,1.228
2025-06-20,1.215
2025-06-27,1.209
2025-07-04,1.25
2025-07-11,1.151
2025-07-18,1.086
2025-07-25,1.012
2025-08-01,0.895
2025-08-08,0.861
2025-08-15,0.899
2025-08-22,0.885
2025-08-29,0.894
2025-09-05,0.949
2025-09-12,1.015
2025-09-19,1.012
