date,eps
2025-02-14,5.15
2025-02-21,5.25
2025-02-28,5.33
2025-03-07,5.42
2025-03-14,5.49
2025-03-21,5.57
2025-03-28,5.67
2025-04-04,5.78
2025-04-11,5.92
2025-04-18,5.99
2025-04-25,6.1
2025-05-02,6.18
2025-05-09,6.29
2025-05-16,6.38
2025-05-23,6.45
2025-05-30,6.56
2025-06-06,6.65
2025-06-13,6.74
2025-06-20,6.82
2025-06-27,6.91
2025-07-04,7.02
2025-07-11,7.11
2025-07-18,7.22
2025-07-25,7.33
2025-08-01,7.45
2025-08-08,7.55
2025-08-15,7.62
2025-08-22,7.74
2025-08-29,7.83
2025-09-05,7.95
2025-09-12,8.06
2025-09-19,8.16
