date,sales_growth
2025-02-14,7.83
2025-02-21,7.49
2025-02-28,5.66
2025-03-07,9.29
2025-03-14,5.45
2025-03-21,10.0
2025-03-28,11.26
2025-04-04,9.1
2025-04-11,7.14
2025-04-18,9.36
2025-04-25,7.07
2025-05-02,10.81
2025-05-09,2.51
2025-05-16,6.99
2025-05-23,2.03
2025-05-30,3.51
2025-06-06,12.09
2025-06-13,10.69
2025-06-20,5.84
2025-06-27,3.49
2025-07-04,-0.89
2025-07-11,6.37
2025-07-18,15.26
2025-07-25,9.3
2025-08-01,6.32
2025-08-08,9.4
2025-08-15,3.32
2025-08-22,7.11
2025-08-29,8.3
2025-09-05,7.74
2025-09-12,10.37
2025-09-19,9.03
