date,eps
2025-02-14,6.08
2025-02-21,6.22
2025-02-28,6.31
2025-03-07,6.43
2025-03-14,6.51
2025-03-21,6.63
2025-03-28,6.73
2025-04-04,6.83
2025-04-11,6.93
2025-04-18,7.02
2025-04-25,7.13
2025-05-02,7.22
2025-05-09,7.29
2025-05-16,7.37
2025-05-23,7.47
2025-05-30,7.6
2025-06-06,7.7
2025-06-13,7.8
2025-06-20,7.91
2025-06-27,8.03
2025-07-04,8.14
2025-07-11,8.23
2025-07-18,8.35
2025-07-25,8.46
2025-08-01,8.59
2025-08-08,8.7
2025-08-15,8.77
2025-08-22,8.84
2025-08-29,8.98
2025-09-05,9.11
2025-09-12,9.21
2025-09-19,9.3
