date,growth
2025-02-14,5.57
2025-02-21,6.42
2025-02-28,12.57
2025-03-07,8.42
2025-03-14,9.98
2025-03-21,9.35
2025-03-28,11.35
2025-04-04,15.63
2025-04-11,10.36
2025-04-18,12.58
2025-04-25,1.8
2025-05-02,9.81
2025-05-09,6.63
2025-05-16,5.12
2025-05-23,6.49
2025-05-30,8.66
2025-06-06,13.66
2025-06-13,4.69
2025-06-20,10.12
2025-06-27,8.06
2025-07-04,8.69
2025-07-11,14.01
2025-07-18,12.15
2025-07-25,15.35
2025-08-01,9.38
2025-08-08,7.22
2025-08-15,9.1
2025-08-22,10.97
2025-08-29,10.71
2025-09-05,5.66
2025-09-12,10.36
2025-09-19,10.91
