date,sales_growth
2025-02-14,15.55
2025-02-21,13.63
2025-02-28,5.44
2025-03-07,7.14
2025-03-14,3.61
2025-03-21,6.23
2025-03-28,8.95
2025-04-04,11.62
2025-04-11,5.81
2025-04-18,6.04
2025-04-25,1.56
2025-05-02,7.51
2025-05-09,4.81
2025-05-16,6.41
2025-05-23,5.37
2025-05-30,7.72
2025-06-06,2.73
2025-06-13,3.6
2025-06-20,14.39
2025-06-27,4.14
2025-07-04,4.71
2025-07-11,13.51
2025-07-18,16.72
2025-07-25,4.49
2025-08-01,6.9
2025-08-08,9.02
2025-08-15,13.19
2025-08-22,5.04
2025-08-29,7.26
2025-09-05,10.33
2025-09-12,9.3
2025-09-19,6.87
