date,vst
2025-02-14,1.21
2025-02-21,1.158
2025-02-28,1.195
2025-03-07,1.242
2025-03-14,1.145
2025-03-21,1.079
2025-03-28,1.086
2025-04-04,1.07
2025-04-11,1.069
2025-04-18,1.027
2025-04-25,1.071
2025-05-02,1.109
2025-05-09,1.113
2025-05-16,1.169
2025-05-23,1.192
2025-05-30,1.149
2025-06-06,1.168
2025-06-13,1.12
2025-06-20,1.164
2025-06-27,1.161
2025-07-04,1.152
2025-07-11,1.118
2025-07-18,1.179
2025-07-25,1.172
2025-08-01,1.15
2025-08-08,1.133
2025-08-15,1.159
2025-08-22,1.177
2025-08-29,1.198
2025-09-05,1.22
2025-09-12,1.327
2025-09-19,1.306
