date,growth
2025-02-14,13.17
2025-02-21,8.61
2025-02-28,8.15
2025-03-07,13.43
2025-03-14,9.23
2025-03-21,4.9
2025-03-28,5.47
2025-04-04,6.32
2025-04-11,11.99
2025-04-18,10.57
2025-04-25,12.76
2025-05-02,8.29
2025-05-09,10.63
2025-05-16,12.5
2025-05-23,8.76
2025-05-30,11.83
2025-06-06,7.35
2025-06-13,8.55
2025-06-20,8.47
2025-06-27,5.22
2025-07-04,11.95
2025-07-11,8.12
2025-07-18,10.05
2025-07-25,11.92
2025-08-01,11.79
2025-08-08,12.66
2025-08-15,9.61
2025-08-22,8.31
2025-08-29,9.68
2025-09-05,3.25
2025-09-12,4.21
2025-09-19,4.71
