date,sales_growth
2025-02-14,5.01
2025-02-21,9.2
2025-02-28,5.28
2025-03-07,6.87
2025-03-14,11.9
2025-03-21,6.93
2025-03-28,10.21
2025-04-04,5.2
2025-04-11,7.38
2025-04-18,5.15
2025-04-25,6.98
2025-05-02,10.52
2025-05-09,2.82
2025-05-16,9.3
2025-05-23,8.71
2025-05-30,6.22
2025-06-06,3.66
2025-06-13,8.22
2025-06-20,6.41
2025-06-27,8.7
2025-07-04,8.07
2025-07-11,12.81
2025-07-18,7.28
2025-07-25,4.93
2025-08-01,8.54
2025-08-08,8.66
2025-08-15,12.08
2025-08-22,10.51
2025-08-29,9.07
2025-09-05,12.39
2025-09-12,4.43
2025-09-19,6.08
